event_type,date,time
FOMC,2019-01-30,14:00
FOMC,2019-03-20,14:00
FOMC,2019-05-01,14:00
FOMC,2019-06-19,14:00
FOMC,2019-07-31,14:00
FOMC,2019-09-18,14:00
FOMC,2019-10-30,14:00
FOMC,2019-12-11,14:00
FOMC,2020-01-29,14:00
FOMC,2020-03-03,14:00
FOMC,2020-03-15,14:00
FOMC,2020-03-18,14:00
FOMC,2020-04-29,14:00
FOMC,2020-06-10,14:00
FOMC,2020-07-29,14:00
FOMC,2020-09-16,14:00
FOMC,2020-11-05,14:00
FOMC,2020-12-16,14:00
FOMC,2021-01-27,14:00
FOMC,2021-03-17,14:00
FOMC,2021-04-28,14:00
FOMC,2021-06-16,14:00
FOMC,2021-07-28,14:00
FOMC,2021-09-22,14:00
FOMC,2021-11-03,14:00
FOMC,2021-12-15,14:00
FOMC,2022-01-26,14:00
FOMC,2022-03-16,14:00
FOMC,2022-05-04,14:00
FOMC,2022-06-15,14:00
FOMC,2022-07-27,14:00
FOMC,2022-09-21,14:00
FOMC,2022-11-02,14:00
FOMC,2022-12-14,14:00
FOMC,2023-02-01,14:00
FOMC,2023-03-22,14:00
FOMC,2023-05-03,14:00
FOMC,2023-06-14,14:00
FOMC,2023-07-26,14:00
FOMC,2023-09-20,14:00
FOMC,2023-11-01,14:00
FOMC,2023-12-13,14:00
FOMC,2024-01-31,14:00
FOMC,2024-03-20,14:00
FOMC,2024-05-01,14:00
FOMC,2024-06-12,14:00
FOMC,2024-07-31,14:00
FOMC,2024-09-18,14:00
FOMC,2024-11-07,14:00
FOMC,2024-12-18,14:00
FOMC,2025-01-29,14:00
FOMC,2025-03-19,14:00
FOMC,2025-05-07,14:00
FOMC,2025-06-18,14:00
FOMC,2025-07-30,14:00
